CODE,MESSAGE
missed_param, "One or more required params missed..."
method_not_allowed, "Method not allowed."
obj_not_found, "Object with given id not found."
not_verified, "User is not verified."
username_not_found, "User with such username was not found."
invalid_password, "Invalid current password."
without_body, "Fill the body."
gpt, "Something goes wrong!"
obj_created, "Object with these parameters already exist."
this_page_busy, "You already have product on this page."
request_words, "You should past request words"
not_register, "User not regstered"
wrong_password, "Wrong password"
subject, "⛔️ выбранный предмет не соответствует карточку товара для тестирование карточки товара введите ссылку и выберите предмет из выпадающий списка. Для создание нового карточки товар выберите предмет"
